source,trace_id,panel,source_group,time_min,signal,unit,x_uncertainty_min,y_uncertainty,strict_delay_limit_min,relaxed_delay_limit_min,source_url,processing
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,6.75,10.08,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.0,10.246,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.25,10.4115,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.5,10.577,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.75,10.687999999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,8.0,10.799,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,8.25,10.854,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,8.5,10.909,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,8.75,10.983,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,9.0,11.057,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,9.25,11.241,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,9.5,11.425,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,9.75,11.683,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,10.0,11.941,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,10.25,12.161999999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,10.5,12.383,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,10.75,12.6045,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,11.0,12.826,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,11.25,12.9365,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,11.5,13.047,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,11.75,13.0835,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,12.0,13.12,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,12.25,13.0465,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,12.5,12.973,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,12.75,12.8625,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,13.0,12.752,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,13.25,12.567499999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,13.5,12.383,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,13.75,12.3095,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,14.0,12.236,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,14.25,12.273,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,14.5,12.31,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,14.75,12.4205,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,15.0,12.531,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,15.25,12.567499999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
