grid,waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,rtd_shape,amplitude_retention,NRMSE,pearson_r,feature_delay_min,feature_definition,aligned_amplitude_retention,aligned_NRMSE,aligned_pearson_r,pass_strict,strict_criterion
primary_1080,pulse,2.0,plug_flow,10.0,5.0,,0.3041539767932542,0.10226989219629681,-0.034833642920369265,11.350000000000016,peak time,0.3041539767932542,0.06576020006013245,0.7634079141192835,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,15.0,0.0,,1.0,0.12930801509574802,-0.017004894168306563,15.0,peak time,1.0,3.82754840210884e-16,0.9999999999999999,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,15.0,1.0,,0.7435824389390076,0.11961524658498741,-0.020231094579227067,15.7,peak time,0.7435824389390076,0.024000041380281216,0.9770647214684824,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,15.0,2.0,,0.5478284481397853,0.11176396876306974,-0.024404828143380557,15.95,peak time,0.5478284481397853,0.043466339142562725,0.9156052764240634,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,15.0,5.0,,0.30415397679325407,0.1022698921962968,-0.03483364288730274,16.350000000000016,peak time,0.30415397679325407,0.06675692556009921,0.7633732399250727,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,0.5,0.0,,0.8889794652244906,0.033467145388202196,0.9294068028576006,0.45,peak time,0.8889794652244906,0.009542065422231136,0.9962647994940063,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,0.5,1.0,,0.6810128060294536,0.07092591109405709,0.6437500222158269,1.1500000000000077,peak time,0.6810128060294536,0.02862651162643849,0.9618967521519605,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,0.5,2.0,,0.5108181768348823,0.0798485693327179,0.5044442295601975,1.5,peak time,0.5108181768348823,0.044272991175268166,0.9021382504396349,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,0.5,5.0,,0.2903087862841103,0.08655574306089929,0.3327963280999553,1.95,peak time,0.2903087862841103,0.06487301107409824,0.753274981892251,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,1.0,0.0,,0.7435824389390074,0.050363282010553116,0.8315809232953953,0.7,peak time,0.7435824389390074,0.022974504534512195,0.9770797837184839,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
