waveform,T_min,tau_f_max_min,V_eff_max_nL_low (3),V_eff_max_nL_medium (50),V_eff_max_nL_high (1000)
pulse,10.0,0.78749042,0.166993252981493,2.7832208830248835,55.66441766049767
pulse,30.0,4.35894766,0.9243475613575934,15.405792689293222,308.11585378586443
pulse,60.0,10.0,2.120575041173111,35.34291735288517,706.8583470577034
ramp,10.0,1.39302016,0.29540037831469734,4.923339638578288,98.46679277156576
ramp,30.0,6.37562949,1.3520000768261247,22.533334613768744,450.6666922753749
ramp,60.0,13.63973412,2.892407974310928,48.2067995718488,964.1359914369759
sinusoid,30.0,0.30436292,0.06454244116105681,1.0757073526842802,21.5141470536856
sinusoid,60.0,1.68472147,0.35725783006104733,5.954297167684121,119.08594335368244
