scenario,mean_flux_nL_min_cm2,through_peak_delay_event1_min,through_peak_delay_event2_min,delay_calibrated_at_steady_flux_min,timing_error_event1_min,timing_error_event2_min,through_amp_retention_event1,fmc_n_readouts,fmc_window_min_median,fmc_window_min_max,fmc_max_residual_error
steady,50.0,11.650000000000006,11.550000000000011,11.650000000000006,0.0,-0.09999999999999432,0.6603294105040546,14,20.400000000000006,20.400000000000034,0.08894922559422735
"burst (10 min on/off, 9:1)",50.00666555574071,11.25,11.150000000000006,11.650000000000006,-0.4000000000000057,-0.5,0.6782798790828926,14,20.25,20.25,0.08597697834887225
declining (95 to 5),50.0,9.5,13.5,11.650000000000006,-2.1500000000000057,1.8499999999999943,0.7590378496558509,14,14.850000000000001,37.69999999999999,0.06753847953425132
