flux,Q_nL_min,tau_f_min,t90_min,cells_passed
low (3),0.21205750411731106,339.53054526271,781.7979721380563,[]
medium (50),3.5342917352885173,20.371832715762604,46.90787832828338,[]
high (1000),70.68583470577035,1.0185916357881302,2.345393916414169,"['pulse 30', 'pulse 60', 'ramp 10', 'ramp 30', 'ramp 60', 'sinusoid 60']"
