tau_s_min,waveform,T_min,topology,tau_f_min,amplitude_retention,nrmse,pearson_r,feature_delay_min,aligned_amplitude_retention,aligned_nrmse,aligned_pearson_r,pass_strict,pass_shape_only,failed
0.0,pulse,2.0,plug,0.05,0.9999999999999998,0.0038056801959658066,0.9991190794669182,0.05000000000000758,0.9999999999999998,5.797295472553334e-16,0.9999999999999997,True,True,
0.0,pulse,2.0,plug,0.05498641,0.9998273074770149,0.0041843174446660305,0.9989349880559633,0.05000000000000758,0.9998273074770149,0.00037963907637522106,0.9999912409688588,True,True,
0.0,pulse,2.0,plug,0.0604701,0.9996373928367488,0.00460088562044097,0.998712299737057,0.05000000000000758,0.9996373928367488,0.0007971384409943466,0.9999613769794828,True,True,
0.0,pulse,2.0,plug,0.06650068,0.9994285379541248,0.005059153418534036,0.9984429334850597,0.05000000000000758,0.9994285379541248,0.0012562751387810128,0.9999040592239214,True,True,
0.0,pulse,2.0,plug,0.07313267,0.9991988546578224,0.005563263898721253,0.9981171268002355,0.05000000000000758,0.9991988546578224,0.0017612000362795374,0.9998114214740486,True,True,
0.0,pulse,2.0,plug,0.08042606,0.9993221028588971,0.006117777047870424,0.9977230871895565,0.1,0.9993221028588971,0.001490257019105158,0.9998649863626856,True,True,
0.0,pulse,2.0,plug,0.0884468,0.999599882228586,0.006727707032285165,0.997246580733242,0.1,0.999599882228586,0.0008795999882051693,0.9999529715937663,True,True,
0.0,pulse,2.0,plug,0.09726744,0.9999053642438932,0.007398570860686297,0.9966704352942407,0.1,0.9999053642438932,0.00020804277116003773,0.9999973697985487,True,True,
0.0,pulse,2.0,plug,0.1,1.0,0.0076064169721768,0.9964808934973419,0.1,1.0,2.872555540644976e-17,0.9999999999999999,True,True,
0.0,pulse,2.0,plug,0.10696774,0.9997586887961267,0.008133863047734759,0.9959755072346951,0.1,0.9997586887961267,0.0005304871396507015,0.9999828963475875,True,True,
0.0,pulse,2.0,plug,0.11763544,0.9993892382239812,0.008942053057038062,0.9951355673677421,0.1,0.9993892382239812,0.001342669807152318,0.9998904075542842,True,True,
0.0,pulse,2.0,plug,0.12936701,0.9992854251656331,0.009831559118193679,0.9941195846248903,0.15000000000000757,0.9992854251656331,0.0015713241864803622,0.9998499776338293,True,True,
0.0,pulse,2.0,plug,0.14226855,0.9997322395056089,0.010810426359022894,0.9928910180964068,0.15000000000000757,0.9997322395056089,0.0005887956317319719,0.9999789408852127,True,True,
0.0,pulse,2.0,plug,0.15645673,0.9997763864195014,0.011883850238980679,0.9914092857548579,0.15000000000000757,0.9997763864195014,0.0004917181666135797,0.999985313168857,True,True,
0.0,pulse,2.0,plug,0.17205988,0.9992360082035066,0.013061178990853631,0.9896216032378822,0.15000000000000757,0.9992360082035066,0.001679990296841685,0.9998285072273071,True,True,
0.0,pulse,2.0,plug,0.1892191,0.9996266290134477,0.014357876036396247,0.987459441434537,0.2,0.9996266290134477,0.000821029279906784,0.9999590492405869,True,True,
0.0,pulse,2.0,plug,0.20808957,0.9997198368659683,0.01577956728903221,0.984853439748256,0.2,0.9997198368659683,0.0006160685872102556,0.9999769445680088,True,True,
0.0,pulse,2.0,plug,0.22884197,0.9992672416463743,0.01733768091583313,0.981712808158453,0.25,0.9992672416463743,0.001611533113207586,0.9998422435270199,True,True,
0.0,pulse,2.0,plug,0.25,1.0,0.01892990629640566,0.978204387362987,0.25,1.0,1.851400549583085e-18,1.0,True,True,
0.0,pulse,2.0,plug,0.25166396,0.9999423726788318,0.019053641354606923,0.9779178972894326,0.25,0.9999423726788318,0.00012673801100819112,0.9999990247268894,True,True,
0.0,pulse,2.0,plug,0.27676195,0.999195205070629,0.020924204321759312,0.9733642545605875,0.3000000000000076,0.999195205070629,0.0017704533667452014,0.999809694715708,True,True,
0.0,pulse,2.0,plug,0.30436292,0.9998489005792981,0.02298384955048138,0.9678672324873699,0.3000000000000076,0.9998489005792981,0.00033240079967237243,0.9999932944149872,True,True,
0.0,pulse,2.0,plug,0.33471648,0.9994706914134819,0.025229995271254677,0.9612753495061507,0.35,0.9994706914134819,0.001164416095141883,0.9999176910895078,True,True,
0.0,pulse,2.0,plug,0.36809714,0.999373248335893,0.027689065899931597,0.9533580240897432,0.35,0.999373248335893,0.0013787793055548671,0.9998845905232914,True,True,
0.0,pulse,2.0,plug,0.4048068,0.9998335278447852,0.03038191289755003,0.9438518301919716,0.40000000000000757,0.9998335278447852,0.0003663209317111445,0.9999918603776278,False,True,r
0.0,pulse,2.0,plug,0.44517744,0.9998329820344397,0.03331412392573838,0.9324909073369176,0.45,0.9998329820344397,0.0003675219839471602,0.9999918069116628,False,True,r
0.0,pulse,2.0,plug,0.48957418,0.9996389263698747,0.03650310418280068,0.9189421947200122,0.5,0.9996389263698747,0.0007946508763792505,0.9999617015660757,False,True,r
0.0,pulse,2.0,plug,0.5,1.0,0.0372550957208454,0.9155803553834327,0.5,1.0,5.55806705600844e-18,0.9999999999999999,False,True,r
0.0,pulse,2.0,plug,0.53839852,0.9995982101649149,0.03997128473848215,0.9028066625640877,0.5500000000000076,0.9995982101649149,0.0008845054498160449,0.9999525754150533,False,True,r
0.0,pulse,2.0,plug,0.59209203,0.9997261261526844,0.043733668350763324,0.8836530814263215,0.6,0.9997261261526844,0.0006029095048196837,0.9999779673477301,False,True,r
0.0,pulse,2.0,plug,0.65114029,0.9999605087513797,0.047803249256565726,0.8610061730924962,0.6500000000000076,0.9999605087513797,8.696078950220434e-05,0.9999995419825871,False,True,r
0.0,pulse,2.0,plug,0.71607733,0.9994431996806182,0.05216589598875846,0.8344500997211441,0.7,0.9994431996806182,0.0012260892491387908,0.9999089145932086,False,True,r
0.0,pulse,2.0,plug,0.75,1.0,0.05442420279455532,0.8198408580163943,0.75,1.0,1.0810469265135892e-17,0.9999999999999999,False,True,r
0.0,pulse,2.0,plug,0.78749042,0.9995667602680707,0.05685701247877279,0.8033418376425084,0.8000000000000076,0.9995667602680707,0.0009544047122487727,0.9999448581394093,False,True,r
0.0,pulse,2.0,plug,0.8660254,0.9994449981534111,0.06185265316505572,0.7672594159292503,0.85,0.9994449981534111,0.0012226403504883604,0.9999095008498071,False,True,r
0.0,pulse,2.0,plug,0.95239254,0.9999171400328206,0.06715925668986106,0.7256522870753416,0.95,0.9999171400328206,0.00018258717245091046,0.9999979834998038,False,True,r
0.0,pulse,2.0,plug,1.0,1.0,0.06998546802938145,0.7020880700383647,1.0,1.0,1.7003867716613783e-17,1.0,False,True,r
0.0,pulse,2.0,plug,1.04737292,0.999909017294349,0.07272025525413804,0.6783363495177266,1.05,0.999909017294349,0.0002005701482787302,0.9999975687143244,False,True,r+delay
0.0,pulse,2.0,plug,1.15182551,0.9999367777764696,0.0785065759077568,0.6251153294148584,1.1500000000000077,0.9999367777764696,0.00013941149770245231,0.9999988260474809,False,True,r+delay
0.0,pulse,2.0,plug,1.26669498,0.9994218088329296,0.08443642639550288,0.5662725307132425,1.25,0.9994218088329296,0.0012751491762433725,0.9999017753767676,False,True,r+delay
0.0,pulse,2.0,plug,1.39302016,0.9997582697412294,0.09047075075020104,0.5021087520689149,1.4000000000000077,0.9997582697412294,0.0005334129914188188,0.9999828346795556,False,True,r+delay
0.0,pulse,2.0,plug,1.53194353,0.9993746568452028,0.09645658086110553,0.43398994335845936,1.55,0.9993746568452028,0.001380490503060323,0.9998850950246672,False,True,r+delay
0.0,pulse,2.0,plug,1.68472147,0.9994708642303362,0.10229826077332761,0.3633659864274391,1.7,0.9994708642303362,0.0011684331318160476,0.9999177342258656,False,True,NRMSE+r+delay
0.0,pulse,2.0,plug,1.85273568,0.9999052561900688,0.10785144757769835,0.29247156780632905,1.8500000000000076,0.9999052561900688,0.00020930051373681653,0.999997363348193,False,True,NRMSE+r+delay
0.0,pulse,2.0,plug,2.0,1.0,0.11198798019207476,0.2371924620738898,2.0,1.0,2.2713877382584662e-17,0.9999999999999997,False,True,NRMSE+r+delay
0.0,pulse,2.0,plug,2.03750564,0.9995672873767923,0.11292073857766421,0.22430447018449723,2.05,0.9995672873767923,0.0009565856634706382,0.9999449856522334,False,True,NRMSE+r+delay
