time_min,c_true,c_measured_device_A,c_measured_device_B,lod_au
30.00,0.300088,0.300035,0.300010,0.10
30.25,0.300095,0.300038,0.300011,0.10
30.50,0.300104,0.300042,0.300012,0.10
30.75,0.300112,0.300045,0.300013,0.10
31.00,0.300122,0.300049,0.300015,0.10
31.25,0.300132,0.300054,0.300016,0.10
31.50,0.300144,0.300059,0.300017,0.10
31.75,0.300156,0.300064,0.300019,0.10
32.00,0.300169,0.300069,0.300021,0.10
32.25,0.300183,0.300075,0.300022,0.10
32.50,0.300198,0.300082,0.300024,0.10
32.75,0.300214,0.300089,0.300026,0.10
33.00,0.300232,0.300097,0.300029,0.10
33.25,0.300250,0.300105,0.300031,0.10
33.50,0.300271,0.300114,0.300034,0.10
33.75,0.300293,0.300123,0.300037,0.10
34.00,0.300316,0.300134,0.300040,0.10
34.25,0.300341,0.300145,0.300043,0.10
34.50,0.300368,0.300157,0.300047,0.10
34.75,0.300398,0.300170,0.300051,0.10
35.00,0.300429,0.300184,0.300055,0.10
35.25,0.300462,0.300199,0.300060,0.10
35.50,0.300498,0.300216,0.300065,0.10
35.75,0.300537,0.300233,0.300070,0.10
36.00,0.300578,0.300252,0.300076,0.10
36.25,0.300622,0.300273,0.300082,0.10
36.50,0.300670,0.300294,0.300089,0.10
36.75,0.300721,0.300318,0.300096,0.10
37.00,0.300775,0.300343,0.300104,0.10
37.25,0.300833,0.300370,0.300113,0.10
37.50,0.300895,0.300399,0.300122,0.10
37.75,0.300961,0.300430,0.300131,0.10
38.00,0.301032,0.300464,0.300142,0.10
38.25,0.301107,0.300500,0.300153,0.10
38.50,0.301188,0.300538,0.300165,0.10
38.75,0.301274,0.300579,0.300178,0.10
39.00,0.301366,0.300623,0.300192,0.10
39.25,0.301464,0.300671,0.300207,0.10
39.50,0.301568,0.300721,0.300222,0.10
39.75,0.301679,0.300775,0.300239,0.10
40.00,0.301797,0.300833,0.300258,0.10
40.25,0.301922,0.300894,0.300277,0.10
40.50,0.302056,0.300960,0.300298,0.10
40.75,0.302198,0.301030,0.300320,0.10
41.00,0.302349,0.301105,0.300344,0.10
41.25,0.302510,0.301185,0.300370,0.10
41.50,0.302680,0.301271,0.300397,0.10
41.75,0.302861,0.301362,0.300426,0.10
42.00,0.303053,0.301459,0.300457,0.10
42.25,0.303256,0.301562,0.300490,0.10
42.50,0.303472,0.301672,0.300526,0.10
42.75,0.303700,0.301789,0.300564,0.10
43.00,0.303942,0.301913,0.300604,0.10
43.25,0.304198,0.302045,0.300647,0.10
43.50,0.304469,0.302186,0.300692,0.10
43.75,0.304756,0.302335,0.300741,0.10
44.00,0.305060,0.302493,0.300793,0.10
44.25,0.305380,0.302662,0.300848,0.10
44.50,0.305719,0.302840,0.300906,0.10
44.75,0.306076,0.303030,0.300968,0.10
45.00,0.306454,0.303230,0.301034,0.10
45.25,0.306852,0.303443,0.301104,0.10
45.50,0.307272,0.303668,0.301179,0.10
45.75,0.307715,0.303907,0.301258,0.10
46.00,0.308182,0.304160,0.301342,0.10
46.25,0.308674,0.304427,0.301431,0.10
46.50,0.309191,0.304709,0.301525,0.10
46.75,0.309736,0.305008,0.301625,0.10
47.00,0.310309,0.305324,0.301731,0.10
47.25,0.310912,0.305657,0.301843,0.10
47.50,0.311545,0.306009,0.301962,0.10
47.75,0.312210,0.306380,0.302087,0.10
48.00,0.312909,0.306772,0.302220,0.10
48.25,0.313643,0.307185,0.302360,0.10
48.50,0.314412,0.307620,0.302508,0.10
48.75,0.315220,0.308079,0.302665,0.10
49.00,0.316066,0.308562,0.302830,0.10
49.25,0.316953,0.309070,0.303004,0.10
49.50,0.317882,0.309605,0.303188,0.10
49.75,0.318854,0.310167,0.303382,0.10
50.00,0.319872,0.310759,0.303587,0.10
50.25,0.320936,0.311380,0.303802,0.10
50.50,0.322049,0.312033,0.304029,0.10
50.75,0.323213,0.312718,0.304269,0.10
51.00,0.324428,0.313438,0.304520,0.10
51.25,0.325697,0.314192,0.304785,0.10
51.50,0.327022,0.314983,0.305063,0.10
51.75,0.328404,0.315812,0.305356,0.10
52.00,0.329845,0.316681,0.305663,0.10
52.25,0.331347,0.317591,0.305986,0.10
52.50,0.332912,0.318543,0.306325,0.10
52.75,0.334542,0.319540,0.306681,0.10
53.00,0.336238,0.320582,0.307055,0.10
53.25,0.338004,0.321671,0.307446,0.10
53.50,0.339840,0.322809,0.307857,0.10
53.75,0.341748,0.323999,0.308287,0.10
54.00,0.343731,0.325240,0.308738,0.10
54.25,0.345791,0.326535,0.309209,0.10
54.50,0.347930,0.327887,0.309703,0.10
54.75,0.350148,0.329296,0.310220,0.10
55.00,0.352450,0.330764,0.310760,0.10
55.25,0.354836,0.332294,0.311324,0.10
55.50,0.357308,0.333887,0.311914,0.10
55.75,0.359868,0.335545,0.312531,0.10
56.00,0.362519,0.337270,0.313174,0.10
56.25,0.365263,0.339064,0.313846,0.10
56.50,0.368100,0.340928,0.314546,0.10
56.75,0.371034,0.342865,0.315277,0.10
57.00,0.374065,0.344877,0.316038,0.10
57.25,0.377196,0.346965,0.316831,0.10
57.50,0.380428,0.349132,0.317658,0.10
57.75,0.383763,0.351379,0.318518,0.10
58.00,0.387203,0.353708,0.319413,0.10
58.25,0.390749,0.356122,0.320345,0.10
58.50,0.394404,0.358621,0.321313,0.10
58.75,0.398167,0.361209,0.322320,0.10
59.00,0.402041,0.363886,0.323365,0.10
59.25,0.406028,0.366656,0.324452,0.10
59.50,0.410127,0.369518,0.325579,0.10
59.75,0.414341,0.372477,0.326749,0.10
60.00,0.418671,0.375532,0.327963,0.10
60.25,0.423117,0.378686,0.329221,0.10
60.50,0.427680,0.381941,0.330526,0.10
60.75,0.432362,0.385297,0.331877,0.10
61.00,0.437162,0.388758,0.333276,0.10
61.25,0.442082,0.392323,0.334724,0.10
61.50,0.447122,0.395995,0.336223,0.10
61.75,0.452282,0.399776,0.337773,0.10
62.00,0.457561,0.403665,0.339376,0.10
62.25,0.462962,0.407666,0.341032,0.10
62.50,0.468482,0.411778,0.342742,0.10
62.75,0.474123,0.416003,0.344509,0.10
63.00,0.479883,0.420342,0.346332,0.10
63.25,0.485761,0.424795,0.348213,0.10
63.50,0.491759,0.429365,0.350152,0.10
63.75,0.497873,0.434050,0.352152,0.10
64.00,0.504104,0.438852,0.354212,0.10
64.25,0.510450,0.443772,0.356334,0.10
64.50,0.516910,0.448809,0.358519,0.10
64.75,0.523482,0.453964,0.360767,0.10
65.00,0.530164,0.459237,0.363079,0.10
65.25,0.536955,0.464627,0.365457,0.10
65.50,0.543853,0.470136,0.367901,0.10
65.75,0.550855,0.475762,0.370411,0.10
66.00,0.557958,0.481505,0.372989,0.10
66.25,0.565160,0.487364,0.375635,0.10
66.50,0.572458,0.493339,0.378351,0.10
66.75,0.579850,0.499428,0.381135,0.10
67.00,0.587331,0.505630,0.383989,0.10
67.25,0.594899,0.511945,0.386914,0.10
67.50,0.602549,0.518371,0.389910,0.10
67.75,0.610279,0.524906,0.392977,0.10
68.00,0.618083,0.531549,0.396115,0.10
68.25,0.625958,0.538296,0.399325,0.10
68.50,0.633900,0.545148,0.402608,0.10
68.75,0.641903,0.552100,0.405962,0.10
69.00,0.649963,0.559150,0.409389,0.10
69.25,0.658075,0.566297,0.412888,0.10
69.50,0.666234,0.573537,0.416459,0.10
69.75,0.674435,0.580866,0.420102,0.10
70.00,0.682673,0.588282,0.423816,0.10
70.25,0.690940,0.595781,0.427603,0.10
70.50,0.699233,0.603360,0.431460,0.10
70.75,0.707545,0.611015,0.435388,0.10
71.00,0.715869,0.618742,0.439386,0.10
71.25,0.724200,0.626536,0.443454,0.10
71.50,0.732531,0.634394,0.447591,0.10
71.75,0.740856,0.642310,0.451796,0.10
72.00,0.749169,0.650281,0.456067,0.10
72.25,0.757461,0.658300,0.460406,0.10
72.50,0.765728,0.666365,0.464809,0.10
72.75,0.773961,0.674468,0.469276,0.10
73.00,0.782154,0.682604,0.473807,0.10
73.25,0.790300,0.690769,0.478399,0.10
73.50,0.798392,0.698957,0.483051,0.10
73.75,0.806422,0.707160,0.487761,0.10
74.00,0.814383,0.715375,0.492529,0.10
74.25,0.822268,0.723594,0.497353,0.10
74.50,0.830070,0.731812,0.502230,0.10
74.75,0.837781,0.740021,0.507159,0.10
75.00,0.845394,0.748217,0.512138,0.10
75.25,0.852903,0.756391,0.517165,0.10
75.50,0.860298,0.764537,0.522238,0.10
75.75,0.867574,0.772650,0.527355,0.10
76.00,0.874723,0.780721,0.532513,0.10
76.25,0.881738,0.788743,0.537710,0.10
76.50,0.888612,0.796711,0.542944,0.10
76.75,0.895338,0.804617,0.548212,0.10
77.00,0.901908,0.812454,0.553512,0.10
77.25,0.908317,0.820215,0.558840,0.10
77.50,0.914558,0.827892,0.564195,0.10
77.75,0.920623,0.835480,0.569574,0.10
78.00,0.926507,0.842969,0.574973,0.10
78.25,0.932203,0.850355,0.580389,0.10
78.50,0.937705,0.857628,0.585821,0.10
78.75,0.943008,0.864783,0.591263,0.10
79.00,0.948105,0.871813,0.596715,0.10
79.25,0.952990,0.878710,0.602172,0.10
79.50,0.957660,0.885467,0.607631,0.10
79.75,0.962107,0.892078,0.613088,0.10
80.00,0.966328,0.898537,0.618542,0.10
80.25,0.970318,0.904836,0.623988,0.10
80.50,0.974072,0.910969,0.629422,0.10
80.75,0.977586,0.916929,0.634842,0.10
81.00,0.980856,0.922711,0.640245,0.10
81.25,0.983878,0.928309,0.645626,0.10
81.50,0.986649,0.933716,0.650982,0.10
81.75,0.989166,0.938926,0.656309,0.10
82.00,0.991426,0.943935,0.661605,0.10
82.25,0.993426,0.948736,0.666866,0.10
82.50,0.995164,0.953325,0.672088,0.10
82.75,0.996638,0.957696,0.677268,0.10
83.00,0.997847,0.961845,0.682402,0.10
83.25,0.998788,0.965767,0.687487,0.10
83.50,0.999461,0.969458,0.692519,0.10
83.75,0.999865,0.972914,0.697495,0.10
84.00,1.000000,0.976131,0.702411,0.10
84.25,0.999865,0.979105,0.707265,0.10
84.50,0.999461,0.981833,0.712052,0.10
84.75,0.998788,0.984312,0.716770,0.10
85.00,0.997847,0.986539,0.721415,0.10
