time_min,c_in,through,wick
73.0,0.592255,0.385602,0.181805
73.5,0.616733,0.420147,0.188500
74.0,0.634958,0.454388,0.195751
74.5,0.646200,0.487409,0.203478
75.0,0.650000,0.518257,0.211583
75.5,0.646200,0.545987,0.219957
76.0,0.634958,0.569709,0.228477
76.5,0.616733,0.588638,0.237016
77.0,0.592255,0.602139,0.245448
77.5,0.562481,0.609759,0.253645
78.0,0.528524,0.611256,0.261493
78.5,0.491593,0.606610,0.268884
79.0,0.452918,0.596023,0.275727
79.5,0.413683,0.579906,0.281949
80.0,0.374971,0.558849,0.287492
80.5,0.337717,0.533590,0.292319
81.0,0.302681,0.504968,0.296409
81.5,0.270429,0.473884,0.299760
82.0,0.241336,0.441245,0.302383
82.5,0.215596,0.407931,0.304303
83.0,0.193241,0.374754,0.305554
83.5,0.174174,0.342431,0.306179
84.0,0.158194,0.311560,0.306225
84.5,0.145028,0.282615,0.305743
85.0,0.134360,0.255937,0.304785
85.5,0.125859,0.231744,0.303403
86.0,0.119194,0.210140,0.301647
86.5,0.114050,0.191128,0.299563
87.0,0.110143,0.174631,0.297196
87.5,0.107222,0.160509,0.294587
88.0,0.105071,0.148576,0.291771
88.5,0.103512,0.138620,0.288783
89.0,0.102398,0.130413,0.285651
89.5,0.101616,0.123727,0.282402
90.0,0.101073,0.118342,0.279059
90.5,0.100703,0.114053,0.275641
91.0,0.100454,0.110674,0.272167
91.5,0.100289,0.108038,0.268653
92.0,0.100182,0.106003,0.265111
92.5,0.100113,0.104447,0.261555
93.0,0.100069,0.103269,0.257993
93.5,0.100042,0.102385,0.254436
94.0,0.100025,0.101727,0.250892
94.5,0.100014,0.101242,0.247367
95.0,0.100008,0.100887,0.243868
95.5,0.100005,0.100629,0.240400
96.0,0.100003,0.100444,0.236967
96.5,0.100001,0.100311,0.233574
97.0,0.100001,0.100216,0.230224
97.5,0.100000,0.100150,0.226921
98.0,0.100000,0.100103,0.223666
98.5,0.100000,0.100071,0.220462
99.0,0.100000,0.100048,0.217312
99.5,0.100000,0.100033,0.214215
100.0,0.100000,0.100022,0.211175
100.5,0.100000,0.100015,0.208191
101.0,0.100000,0.100010,0.205265
101.5,0.100000,0.100007,0.202397
102.0,0.100000,0.100004,0.199588
102.5,0.100000,0.100003,0.196837
103.0,0.100000,0.100002,0.194145
103.5,0.100000,0.100001,0.191513
104.0,0.100000,0.100001,0.188938
104.5,0.100000,0.100001,0.186423
105.0,0.100000,0.100000,0.183965
105.5,0.100000,0.100000,0.181565
106.0,0.100000,0.100000,0.179222
106.5,0.100000,0.100000,0.176936
107.0,0.100000,0.100000,0.174705
107.5,0.100000,0.100000,0.172530
108.0,0.100000,0.100000,0.170409
108.5,0.100000,0.100000,0.168342
109.0,0.100000,0.100000,0.166327
109.5,0.100000,0.100000,0.164365
110.0,0.100000,0.100000,0.162453
110.5,0.100000,0.100000,0.160592
111.0,0.100000,0.100000,0.158780
111.5,0.100000,0.100000,0.157016
112.0,0.100000,0.100000,0.155300
112.5,0.100000,0.100000,0.153631
113.0,0.100000,0.100000,0.152007
113.5,0.100000,0.100000,0.150427
114.0,0.100000,0.100000,0.148891
114.5,0.100000,0.100000,0.147398
115.0,0.100000,0.100000,0.145946
115.5,0.100000,0.100000,0.144536
116.0,0.100000,0.100000,0.143165
116.5,0.100000,0.100000,0.141833
117.0,0.100000,0.100000,0.140539
117.5,0.100000,0.100000,0.139282
118.0,0.100000,0.100000,0.138062
118.5,0.100000,0.100000,0.136877
119.0,0.100000,0.100000,0.135726
119.5,0.100000,0.100000,0.134609
120.0,0.100000,0.100000,0.133524
120.5,0.100000,0.100000,0.132472
121.0,0.100000,0.100000,0.131450
121.5,0.100000,0.100000,0.130459
122.0,0.100000,0.100000,0.129497
122.5,0.100000,0.100000,0.128564
123.0,0.100000,0.100000,0.127659
123.5,0.100000,0.100000,0.126781
124.0,0.100000,0.100000,0.125930
124.5,0.100000,0.100000,0.125104
125.0,0.100000,0.100000,0.124303
125.5,0.100000,0.100000,0.123527
126.0,0.100000,0.100000,0.122774
126.5,0.100000,0.100000,0.122044
127.0,0.100000,0.100000,0.121337
127.5,0.100000,0.100000,0.120651
128.0,0.100000,0.100000,0.119987
128.5,0.100000,0.100000,0.119342
129.0,0.100000,0.100000,0.118718
129.5,0.100000,0.100000,0.118113
130.0,0.100000,0.100000,0.117527
130.5,0.100000,0.100000,0.116960
131.0,0.100000,0.100000,0.116409
131.5,0.100000,0.100000,0.115877
132.0,0.100000,0.100000,0.115360
132.5,0.100000,0.100000,0.114860
133.0,0.100000,0.100000,0.114376
133.5,0.100000,0.100000,0.113907
134.0,0.100000,0.100000,0.113453
134.5,0.100000,0.100000,0.113013
135.0,0.100000,0.100000,0.112587
135.5,0.100000,0.100000,0.112174
136.0,0.100000,0.100000,0.111775
136.5,0.100000,0.100000,0.111388
137.0,0.100000,0.100000,0.111014
137.5,0.100000,0.100000,0.110652
138.0,0.100000,0.100000,0.110301
138.5,0.100000,0.100000,0.109961
139.0,0.100000,0.100000,0.109632
139.5,0.100000,0.100000,0.109314
140.0,0.100000,0.100000,0.109006
140.5,0.100000,0.100000,0.108707
141.0,0.100000,0.100000,0.108418
141.5,0.100000,0.100000,0.108138
142.0,0.100000,0.100000,0.107867
142.5,0.100000,0.100000,0.107605
143.0,0.100000,0.100000,0.107351
143.5,0.100000,0.100000,0.107104
144.0,0.100000,0.100000,0.106866
144.5,0.100000,0.100000,0.106634
145.0,0.100000,0.100000,0.106410
145.5,0.100000,0.100000,0.106193
146.0,0.100000,0.100000,0.105982
146.5,0.100000,0.100000,0.105778
147.0,0.100000,0.100000,0.105579
147.5,0.100000,0.100000,0.105387
148.0,0.100000,0.100000,0.105201
148.5,0.100000,0.100000,0.105021
149.0,0.100000,0.100000,0.104846
149.5,0.100000,0.100000,0.104677
150.0,0.100000,0.100000,0.104513
