theta_min,through,wick,fmc,chrono,accum
47.5,0.000000,0.004533,0.000284,0.033223,0.008330
48.0,0.000000,0.004389,0.000284,0.033223,0.008330
48.5,0.000000,0.004249,0.000284,0.033223,0.008330
49.0,0.000000,0.004114,0.000284,0.033223,0.008330
49.5,0.000000,0.003983,0.000284,0.033223,0.008330
50.0,0.000000,0.003856,0.000284,0.033223,0.008330
50.5,0.000000,0.003732,0.000284,0.033223,0.008330
51.0,0.000000,0.003613,0.000284,0.033223,0.008330
51.5,0.000000,0.003497,0.000284,0.033223,0.008330
52.0,0.000000,0.003384,0.000284,0.033223,0.008330
52.5,0.000000,0.003275,0.000284,0.033223,0.008330
53.0,0.000000,0.003170,0.000284,0.033223,0.008330
53.5,0.000000,0.003067,0.000284,0.033223,0.008330
54.0,0.000000,0.002968,0.000284,0.033223,0.008330
54.5,0.000000,0.002872,0.000284,0.033223,0.008330
55.0,0.000000,0.002779,0.000284,0.033223,0.008330
55.5,0.000000,0.002689,0.000284,0.033223,0.008330
56.0,0.000000,0.002602,0.000284,0.033223,0.008330
56.5,0.000000,0.002517,0.000284,0.033223,0.008330
57.0,0.000000,0.002435,0.000284,0.033223,0.008330
57.5,0.000000,0.002356,0.000000,0.033223,0.008330
58.0,0.000000,0.002279,0.000000,0.033223,0.008330
58.5,0.000000,0.002205,0.000000,0.033223,0.008330
59.0,0.000000,0.002132,0.000000,0.033223,0.008330
59.5,0.000000,0.002063,0.000000,0.033223,0.008330
60.0,0.000000,0.001995,0.000000,0.033223,0.008330
60.5,0.000000,0.001930,0.000000,0.000000,0.008330
61.0,0.000000,0.001866,0.000000,0.000000,0.008330
61.5,0.000000,0.001805,0.000000,0.000000,0.008330
62.0,0.000000,0.001746,0.000043,0.000000,0.008330
62.5,0.000000,0.001688,0.000043,0.000000,0.008330
63.0,0.000000,0.001632,0.000043,0.000000,0.008330
63.5,0.000000,0.001579,0.000043,0.000000,0.008330
64.0,0.000000,0.001526,0.000043,0.000000,0.008330
64.5,0.000000,0.001476,0.000043,0.000000,0.008330
65.0,0.000000,0.001427,0.000043,0.000000,0.008330
65.5,0.000000,0.001380,0.000043,0.000000,0.008330
66.0,0.000000,0.001334,0.000043,0.000000,0.008330
66.5,0.000000,0.001290,0.000043,0.000000,0.008330
67.0,0.000000,0.001247,0.000043,0.000000,0.008330
