time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0001800545,0.0000469780,0.0000344958,30,5,1,gamma_rtd
0.050000,0.0001830119,0.0000477960,0.0000351046,30,5,1,gamma_rtd
0.100000,0.0001860149,0.0000486275,0.0000357235,30,5,1,gamma_rtd
0.150000,0.0001890644,0.0000494727,0.0000363529,30,5,1,gamma_rtd
0.200000,0.0001921609,0.0000503319,0.0000369927,30,5,1,gamma_rtd
0.250000,0.0001953051,0.0000512052,0.0000376433,30,5,1,gamma_rtd
0.300000,0.0001984976,0.0000520929,0.0000383047,30,5,1,gamma_rtd
0.350000,0.0002017393,0.0000529952,0.0000389772,30,5,1,gamma_rtd
0.400000,0.0002050307,0.0000539123,0.0000396608,30,5,1,gamma_rtd
0.450000,0.0002083726,0.0000548444,0.0000403559,30,5,1,gamma_rtd
0.500000,0.0002117658,0.0000557918,0.0000410625,30,5,1,gamma_rtd
0.550000,0.0002152108,0.0000567547,0.0000417809,30,5,1,gamma_rtd
0.600000,0.0002187086,0.0000577334,0.0000425111,30,5,1,gamma_rtd
0.650000,0.0002222597,0.0000587281,0.0000432535,30,5,1,gamma_rtd
0.700000,0.0002258651,0.0000597389,0.0000440082,30,5,1,gamma_rtd
0.750000,0.0002295254,0.0000607663,0.0000447754,30,5,1,gamma_rtd
0.800000,0.0002332414,0.0000618104,0.0000455553,30,5,1,gamma_rtd
0.850000,0.0002370140,0.0000628715,0.0000463481,30,5,1,gamma_rtd
0.900000,0.0002408438,0.0000639499,0.0000471540,30,5,1,gamma_rtd
0.950000,0.0002447317,0.0000650457,0.0000479731,30,5,1,gamma_rtd
1.000000,0.0002486786,0.0000661594,0.0000488057,30,5,1,gamma_rtd
1.050000,0.0002526853,0.0000672911,0.0000496521,30,5,1,gamma_rtd
1.100000,0.0002567525,0.0000684411,0.0000505123,30,5,1,gamma_rtd
1.150000,0.0002608812,0.0000696097,0.0000513867,30,5,1,gamma_rtd
1.200000,0.0002650722,0.0000707972,0.0000522755,30,5,1,gamma_rtd
1.250000,0.0002693264,0.0000720039,0.0000531788,30,5,1,gamma_rtd
1.300000,0.0002736447,0.0000732300,0.0000540969,30,5,1,gamma_rtd
1.350000,0.0002780278,0.0000744759,0.0000550300,30,5,1,gamma_rtd
1.400000,0.0002824769,0.0000757419,0.0000559784,30,5,1,gamma_rtd
