time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
3.900000,0.0000426138,0.0000001082,0.0000000444,10,5,1,plug
3.950000,0.0000449223,0.0000001157,0.0000000475,10,5,1,plug
4.000000,0.0000473494,0.0000001236,0.0000000508,10,5,1,plug
4.050000,0.0000499006,0.0000001321,0.0000000543,10,5,1,plug
4.100000,0.0000525820,0.0000001411,0.0000000581,10,5,1,plug
4.150000,0.0000553998,0.0000001508,0.0000000622,10,5,1,plug
4.200000,0.0000583605,0.0000001611,0.0000000665,10,5,1,plug
4.250000,0.0000614709,0.0000001720,0.0000000711,10,5,1,plug
4.300000,0.0000647381,0.0000001837,0.0000000760,10,5,1,plug
4.350000,0.0000681694,0.0000001961,0.0000000813,10,5,1,plug
4.400000,0.0000717728,0.0000002094,0.0000000869,10,5,1,plug
4.450000,0.0000755561,0.0000002235,0.0000000929,10,5,1,plug
4.500000,0.0000795278,0.0000002385,0.0000000992,10,5,1,plug
4.550000,0.0000836967,0.0000002545,0.0000001060,10,5,1,plug
4.600000,0.0000880719,0.0000002716,0.0000001133,10,5,1,plug
4.650000,0.0000926630,0.0000002897,0.0000001210,10,5,1,plug
4.700000,0.0000974799,0.0000003090,0.0000001292,10,5,1,plug
4.750000,0.0001025329,0.0000003296,0.0000001380,10,5,1,plug
4.800000,0.0001078330,0.0000003515,0.0000001473,10,5,1,plug
4.850000,0.0001133913,0.0000003747,0.0000001573,10,5,1,plug
4.900000,0.0001192195,0.0000003995,0.0000001679,10,5,1,plug
4.950000,0.0001253300,0.0000004258,0.0000001792,10,5,1,plug
5.000000,0.0001317353,0.0000004538,0.0000001912,10,5,1,plug
5.050000,0.0001384489,0.0000004836,0.0000002040,10,5,1,plug
5.100000,0.0001454844,0.0000005153,0.0000002177,10,5,1,plug
5.150000,0.0001528562,0.0000005490,0.0000002322,10,5,1,plug
5.200000,0.0001605793,0.0000005848,0.0000002476,10,5,1,plug
5.250000,0.0001686693,0.0000006228,0.0000002641,10,5,1,plug
5.300000,0.0001771422,0.0000006632,0.0000002816,10,5,1,plug
5.350000,0.0001860149,0.0000007061,0.0000003002,10,5,1,plug
5.400000,0.0001953051,0.0000007518,0.0000003200,10,5,1,plug
5.450000,0.0002050307,0.0000008002,0.0000003410,10,5,1,plug
5.500000,0.0002152108,0.0000008517,0.0000003634,10,5,1,plug
5.550000,0.0002258651,0.0000009063,0.0000003872,10,5,1,plug
5.600000,0.0002370140,0.0000009643,0.0000004126,10,5,1,plug
5.650000,0.0002486786,0.0000010259,0.0000004395,10,5,1,plug
5.700000,0.0002608812,0.0000010913,0.0000004681,10,5,1,plug
5.750000,0.0002736447,0.0000011607,0.0000004985,10,5,1,plug
5.800000,0.0002869927,0.0000012343,0.0000005308,10,5,1,plug
5.850000,0.0003009502,0.0000013124,0.0000005651,10,5,1,plug
5.900000,0.0003155427,0.0000013952,0.0000006015,10,5,1,plug
5.950000,0.0003307968,0.0000014831,0.0000006402,10,5,1,plug
6.000000,0.0003467404,0.0000015763,0.0000006813,10,5,1,plug
6.050000,0.0003634020,0.0000016751,0.0000007250,10,5,1,plug
6.100000,0.0003808114,0.0000017798,0.0000007713,10,5,1,plug
6.150000,0.0003989995,0.0000018909,0.0000008205,10,5,1,plug
6.200000,0.0004179983,0.0000020086,0.0000008727,10,5,1,plug
6.250000,0.0004378411,0.0000021333,0.0000009281,10,5,1,plug
6.300000,0.0004585622,0.0000022655,0.0000009869,10,5,1,plug
