time_min,C_in_normalized
12.650000,0.736275382
12.700000,0.731648018
12.750000,0.726995250
12.800000,0.722317590
12.850000,0.717615550
12.900000,0.712889646
12.950000,0.708140396
13.000000,0.703368322
13.050000,0.698573945
13.100000,0.693757793
13.150000,0.688920393
13.200000,0.684062276
13.250000,0.679183975
13.300000,0.674286024
13.350000,0.669368960
13.400000,0.664433323
13.450000,0.659479655
13.500000,0.654508497
13.550000,0.649520396
13.600000,0.644515898
13.650000,0.639495553
13.700000,0.634459910
13.750000,0.629409523
13.800000,0.624344944
13.850000,0.619266729
13.900000,0.614175435
13.950000,0.609071621
14.000000,0.603955845
14.050000,0.598828670
14.100000,0.593690657
14.150000,0.588542370
14.200000,0.583384373
14.250000,0.578217233
14.300000,0.573041514
14.350000,0.567857786
14.400000,0.562666617
14.450000,0.557468575
14.500000,0.552264232
14.550000,0.547054157
14.600000,0.541838922
14.650000,0.536619099
14.700000,0.531395260
14.750000,0.526167978
14.800000,0.520937827
14.850000,0.515705380
14.900000,0.510471210
14.950000,0.505235892
15.000000,0.500000000
15.050000,0.494764108
15.100000,0.489528790
15.150000,0.484294620
15.200000,0.479062173
15.250000,0.473832022
15.300000,0.468604740
15.350000,0.463380901
15.400000,0.458161078
15.450000,0.452945843
15.500000,0.447735768
15.550000,0.442531425
15.600000,0.437333383
15.650000,0.432142214
15.700000,0.426958486
15.750000,0.421782767
15.800000,0.416615627
15.850000,0.411457630
15.900000,0.406309343
15.950000,0.401171330
16.000000,0.396044155
16.050000,0.390928379
16.100000,0.385824565
16.150000,0.380733271
16.200000,0.375655056
16.250000,0.370590477
16.300000,0.365540090
16.350000,0.360504447
16.400000,0.355484102
16.450000,0.350479604
16.500000,0.345491503
16.550000,0.340520345
16.600000,0.335566677
16.650000,0.330631040
16.700000,0.325713976
16.750000,0.320816025
16.800000,0.315937724
16.850000,0.311079607
16.900000,0.306242207
16.950000,0.301426055
17.000000,0.296631678
17.050000,0.291859604
17.100000,0.287110354
17.150000,0.282384450
17.200000,0.277682410
17.250000,0.273004750
17.300000,0.268351982
17.350000,0.263724618
17.400000,0.259123163
17.450000,0.254548123
17.500000,0.250000000
17.550000,0.245479292
17.600000,0.240986495
17.650000,0.236522102
17.700000,0.232086603
17.750000,0.227680482
17.800000,0.223304225
17.850000,0.218958311
17.900000,0.214643216
17.950000,0.210359414
18.000000,0.206107374
18.050000,0.201887563
18.100000,0.197700443
18.150000,0.193546473
18.200000,0.189426110
18.250000,0.185339804
18.300000,0.181288005
18.350000,0.177271156
18.400000,0.173289698
18.450000,0.169344067
18.500000,0.165434697
18.550000,0.161562015
18.600000,0.157726447
18.650000,0.153928413
18.700000,0.150168330
18.750000,0.146446609
18.800000,0.142763660
18.850000,0.139119886
18.900000,0.135515686
18.950000,0.131951456
19.000000,0.128427587
19.050000,0.124944465
19.100000,0.121502472
19.150000,0.118101986
19.200000,0.114743379
19.250000,0.111427019
19.300000,0.108153271
19.350000,0.104922494
19.400000,0.101735041
19.450000,0.098591262
19.500000,0.095491503
19.550000,0.092436102
19.600000,0.089425395
19.650000,0.086459713
19.700000,0.083539380
19.750000,0.080664716
19.800000,0.077836037
19.850000,0.075053654
19.900000,0.072317870
19.950000,0.069628986
20.000000,0.066987298
20.050000,0.064393094
20.100000,0.061846660
20.150000,0.059348274
20.200000,0.056898210
20.250000,0.054496738
20.300000,0.052144120
20.350000,0.049840614
20.400000,0.047586474
20.450000,0.045381945
20.500000,0.043227271
20.550000,0.041122687
20.600000,0.039068424
20.650000,0.037064708
20.700000,0.035111757
20.750000,0.033209787
20.800000,0.031359005
20.850000,0.029559616
20.900000,0.027811815
20.950000,0.026115795
21.000000,0.024471742
21.050000,0.022879836
21.100000,0.021340251
21.150000,0.019853157
21.200000,0.018418717
21.250000,0.017037087
21.300000,0.015708419
21.350000,0.014432860
21.400000,0.013210549
21.450000,0.012041619
21.500000,0.010926200
21.550000,0.009864413
21.600000,0.008856375
21.650000,0.007902196
21.700000,0.007001981
21.750000,0.006155830
21.800000,0.005363834
21.850000,0.004626080
21.900000,0.003942649
21.950000,0.003313617
22.000000,0.002739052
22.050000,0.002219018
22.100000,0.001753570
22.150000,0.001342761
22.200000,0.000986636
22.250000,0.000685233
22.300000,0.000438585
22.350000,0.000246720
22.400000,0.000109658
22.450000,0.000027415
22.500000,0.000000000
22.550000,0.000027415
22.600000,0.000109658
22.650000,0.000246720
22.700000,0.000438585
22.750000,0.000685233
22.800000,0.000986636
22.850000,0.001342761
22.900000,0.001753570
22.950000,0.002219018
23.000000,0.002739052
23.050000,0.003313617
23.100000,0.003942649
23.150000,0.004626080
23.200000,0.005363834
23.250000,0.006155830
23.300000,0.007001981
23.350000,0.007902196
23.400000,0.008856375
23.450000,0.009864413
23.500000,0.010926200
23.550000,0.012041619
23.600000,0.013210549
23.650000,0.014432860
23.700000,0.015708419
23.750000,0.017037087
23.800000,0.018418717
23.850000,0.019853157
23.900000,0.021340251
23.950000,0.022879836
24.000000,0.024471742
24.050000,0.026115795
24.100000,0.027811815
24.150000,0.029559616
24.200000,0.031359005
24.250000,0.033209787
24.300000,0.035111757
24.350000,0.037064708
24.400000,0.039068424
24.450000,0.041122687
24.500000,0.043227271
24.550000,0.045381945
24.600000,0.047586474
24.650000,0.049840614
24.700000,0.052144120
24.750000,0.054496738
24.800000,0.056898210
24.850000,0.059348274
24.900000,0.061846660
24.950000,0.064393094
25.000000,0.066987298
25.050000,0.069628986
25.100000,0.072317870
25.150000,0.075053654
25.200000,0.077836037
25.250000,0.080664716
25.300000,0.083539380
25.350000,0.086459713
25.400000,0.089425395
25.450000,0.092436102
25.500000,0.095491503
25.550000,0.098591262
25.600000,0.101735041
25.650000,0.104922494
25.700000,0.108153271
25.750000,0.111427019
25.800000,0.114743379
25.850000,0.118101986
25.900000,0.121502472
25.950000,0.124944465
26.000000,0.128427587
26.050000,0.131951456
26.100000,0.135515686
26.150000,0.139119886
26.200000,0.142763660
26.250000,0.146446609
26.300000,0.150168330
26.350000,0.153928413
26.400000,0.157726447
26.450000,0.161562015
26.500000,0.165434697
26.550000,0.169344067
26.600000,0.173289698
26.650000,0.177271156
26.700000,0.181288005
26.750000,0.185339804
26.800000,0.189426110
26.850000,0.193546473
26.900000,0.197700443
26.950000,0.201887563
27.000000,0.206107374
27.050000,0.210359414
27.100000,0.214643216
27.150000,0.218958311
27.200000,0.223304225
27.250000,0.227680482
27.300000,0.232086603
27.350000,0.236522102
27.400000,0.240986495
27.450000,0.245479292
27.500000,0.250000000
27.550000,0.254548123
27.600000,0.259123163
27.650000,0.263724618
27.700000,0.268351982
27.750000,0.273004750
27.800000,0.277682410
27.850000,0.282384450
27.900000,0.287110354
27.950000,0.291859604
28.000000,0.296631678
28.050000,0.301426055
28.100000,0.306242207
28.150000,0.311079607
28.200000,0.315937724
28.250000,0.320816025
28.300000,0.325713976
28.350000,0.330631040
28.400000,0.335566677
28.450000,0.340520345
28.500000,0.345491503
28.550000,0.350479604
28.600000,0.355484102
28.650000,0.360504447
28.700000,0.365540090
28.750000,0.370590477
28.800000,0.375655056
28.850000,0.380733271
28.900000,0.385824565
28.950000,0.390928379
29.000000,0.396044155
29.050000,0.401171330
29.100000,0.406309343
29.150000,0.411457630
29.200000,0.416615627
29.250000,0.421782767
29.300000,0.426958486
29.350000,0.432142214
29.400000,0.437333383
29.450000,0.442531425
29.500000,0.447735768
29.550000,0.452945843
29.600000,0.458161078
29.650000,0.463380901
29.700000,0.468604740
29.750000,0.473832022
29.800000,0.479062173
29.850000,0.484294620
29.900000,0.489528790
29.950000,0.494764108
30.000000,0.500000000
30.050000,0.505235892
30.100000,0.510471210
30.150000,0.515705380
30.200000,0.520937827
30.250000,0.526167978
30.300000,0.531395260
30.350000,0.536619099
30.400000,0.541838922
30.450000,0.547054157
30.500000,0.552264232
30.550000,0.557468575
30.600000,0.562666617
30.650000,0.567857786
30.700000,0.573041514
30.750000,0.578217233
30.800000,0.583384373
30.850000,0.588542370
30.900000,0.593690657
30.950000,0.598828670
31.000000,0.603955845
31.050000,0.609071621
31.100000,0.614175435
31.150000,0.619266729
31.200000,0.624344944
31.250000,0.629409523
31.300000,0.634459910
31.350000,0.639495553
31.400000,0.644515898
31.450000,0.649520396
31.500000,0.654508497
31.550000,0.659479655
31.600000,0.664433323
31.650000,0.669368960
31.700000,0.674286024
31.750000,0.679183975
31.800000,0.684062276
31.850000,0.688920393
31.900000,0.693757793
31.950000,0.698573945
32.000000,0.703368322
32.050000,0.708140396
32.100000,0.712889646
32.150000,0.717615550
32.200000,0.722317590
32.250000,0.726995250
32.300000,0.731648018
32.350000,0.736275382
32.400000,0.740876837
32.450000,0.745451877
32.500000,0.750000000
32.550000,0.754520708
32.600000,0.759013505
32.650000,0.763477898
32.700000,0.767913397
32.750000,0.772319518
32.800000,0.776695775
32.850000,0.781041689
32.900000,0.785356784
32.950000,0.789640586
33.000000,0.793892626
33.050000,0.798112437
33.100000,0.802299557
33.150000,0.806453527
33.200000,0.810573890
33.250000,0.814660196
33.300000,0.818711995
33.350000,0.822728844
33.400000,0.826710302
33.450000,0.830655933
33.500000,0.834565303
33.550000,0.838437985
33.600000,0.842273553
33.650000,0.846071587
33.700000,0.849831670
33.750000,0.853553391
33.800000,0.857236340
33.850000,0.860880114
33.900000,0.864484314
33.950000,0.868048544
34.000000,0.871572413
34.050000,0.875055535
34.100000,0.878497528
34.150000,0.881898014
34.200000,0.885256621
34.250000,0.888572981
34.300000,0.891846729
34.350000,0.895077506
34.400000,0.898264959
34.450000,0.901408738
34.500000,0.904508497
34.550000,0.907563898
34.600000,0.910574605
34.650000,0.913540287
34.700000,0.916460620
34.750000,0.919335284
34.800000,0.922163963
34.850000,0.924946346
34.900000,0.927682130
34.950000,0.930371014
35.000000,0.933012702
35.050000,0.935606906
35.100000,0.938153340
35.150000,0.940651726
35.200000,0.943101790
35.250000,0.945503262
35.300000,0.947855880
35.350000,0.950159386
35.400000,0.952413526
35.450000,0.954618055
35.500000,0.956772729
35.550000,0.958877313
35.600000,0.960931576
35.650000,0.962935292
35.700000,0.964888243
35.750000,0.966790213
35.800000,0.968640995
35.850000,0.970440384
35.900000,0.972188185
35.950000,0.973884205
36.000000,0.975528258
36.050000,0.977120164
36.100000,0.978659749
36.150000,0.980146843
36.200000,0.981581283
36.250000,0.982962913
36.300000,0.984291581
36.350000,0.985567140
36.400000,0.986789451
36.450000,0.987958381
36.500000,0.989073800
36.550000,0.990135587
36.600000,0.991143625
36.650000,0.992097804
36.700000,0.992998019
36.750000,0.993844170
36.800000,0.994636166
36.850000,0.995373920
36.900000,0.996057351
36.950000,0.996686383
37.000000,0.997260948
37.050000,0.997780982
37.100000,0.998246430
37.150000,0.998657239
37.200000,0.999013364
37.250000,0.999314767
37.300000,0.999561415
37.350000,0.999753280
37.400000,0.999890342
37.450000,0.999972585
37.500000,1.000000000
37.550000,0.999972585
37.600000,0.999890342
37.650000,0.999753280
37.700000,0.999561415
37.750000,0.999314767
37.800000,0.999013364
37.850000,0.998657239
37.900000,0.998246430
37.950000,0.997780982
38.000000,0.997260948
38.050000,0.996686383
38.100000,0.996057351
38.150000,0.995373920
38.200000,0.994636166
38.250000,0.993844170
38.300000,0.992998019
38.350000,0.992097804
38.400000,0.991143625
38.450000,0.990135587
38.500000,0.989073800
38.550000,0.987958381
38.600000,0.986789451
38.650000,0.985567140
38.700000,0.984291581
38.750000,0.982962913
38.800000,0.981581283
38.850000,0.980146843
38.900000,0.978659749
38.950000,0.977120164
39.000000,0.975528258
39.050000,0.973884205
39.100000,0.972188185
39.150000,0.970440384
39.200000,0.968640995
39.250000,0.966790213
39.300000,0.964888243
39.350000,0.962935292
39.400000,0.960931576
39.450000,0.958877313
39.500000,0.956772729
39.550000,0.954618055
39.600000,0.952413526
39.650000,0.950159386
39.700000,0.947855880
39.750000,0.945503262
39.800000,0.943101790
39.850000,0.940651726
39.900000,0.938153340
39.950000,0.935606906
40.000000,0.933012702
40.050000,0.930371014
40.100000,0.927682130
40.150000,0.924946346
40.200000,0.922163963
40.250000,0.919335284
40.300000,0.916460620
40.350000,0.913540287
40.400000,0.910574605
40.450000,0.907563898
40.500000,0.904508497
40.550000,0.901408738
40.600000,0.898264959
40.650000,0.895077506
40.700000,0.891846729
40.750000,0.888572981
40.800000,0.885256621
40.850000,0.881898014
40.900000,0.878497528
40.950000,0.875055535
41.000000,0.871572413
41.050000,0.868048544
41.100000,0.864484314
41.150000,0.860880114
41.200000,0.857236340
41.250000,0.853553391
41.300000,0.849831670
41.350000,0.846071587
41.400000,0.842273553
41.450000,0.838437985
41.500000,0.834565303
41.550000,0.830655933
41.600000,0.826710302
41.650000,0.822728844
41.700000,0.818711995
41.750000,0.814660196
41.800000,0.810573890
41.850000,0.806453527
41.900000,0.802299557
41.950000,0.798112437
42.000000,0.793892626
42.050000,0.789640586
42.100000,0.785356784
42.150000,0.781041689
42.200000,0.776695775
42.250000,0.772319518
42.300000,0.767913397
42.350000,0.763477898
42.400000,0.759013505
42.450000,0.754520708
42.500000,0.750000000
42.550000,0.745451877
42.600000,0.740876837
42.650000,0.736275382
42.700000,0.731648018
42.750000,0.726995250
42.800000,0.722317590
42.850000,0.717615550
42.900000,0.712889646
42.950000,0.708140396
43.000000,0.703368322
43.050000,0.698573945
43.100000,0.693757793
43.150000,0.688920393
43.200000,0.684062276
43.250000,0.679183975
43.300000,0.674286024
43.350000,0.669368960
43.400000,0.664433323
43.450000,0.659479655
43.500000,0.654508497
43.550000,0.649520396
43.600000,0.644515898
43.650000,0.639495553
43.700000,0.634459910
43.750000,0.629409523
43.800000,0.624344944
43.850000,0.619266729
43.900000,0.614175435
43.950000,0.609071621
44.000000,0.603955845
44.050000,0.598828670
44.100000,0.593690657
44.150000,0.588542370
44.200000,0.583384373
44.250000,0.578217233
44.300000,0.573041514
44.350000,0.567857786
44.400000,0.562666617
44.450000,0.557468575
44.500000,0.552264232
44.550000,0.547054157
44.600000,0.541838922
44.650000,0.536619099
44.700000,0.531395260
44.750000,0.526167978
44.800000,0.520937827
44.850000,0.515705380
44.900000,0.510471210
44.950000,0.505235892
45.000000,0.500000000
45.050000,0.494764108
45.100000,0.489528790
45.150000,0.484294620
45.200000,0.479062173
45.250000,0.473832022
45.300000,0.468604740
45.350000,0.463380901
45.400000,0.458161078
45.450000,0.452945843
45.500000,0.447735768
45.550000,0.442531425
45.600000,0.437333383
45.650000,0.432142214
45.700000,0.426958486
45.750000,0.421782767
45.800000,0.416615627
45.850000,0.411457630
45.900000,0.406309343
45.950000,0.401171330
46.000000,0.396044155
46.050000,0.390928379
46.100000,0.385824565
46.150000,0.380733271
46.200000,0.375655056
46.250000,0.370590477
46.300000,0.365540090
46.350000,0.360504447
46.400000,0.355484102
46.450000,0.350479604
46.500000,0.345491503
46.550000,0.340520345
46.600000,0.335566677
46.650000,0.330631040
46.700000,0.325713976
46.750000,0.320816025
46.800000,0.315937724
46.850000,0.311079607
46.900000,0.306242207
46.950000,0.301426055
47.000000,0.296631678
47.050000,0.291859604
47.100000,0.287110354
47.150000,0.282384450
47.200000,0.277682410
47.250000,0.273004750
47.300000,0.268351982
47.350000,0.263724618
47.400000,0.259123163
47.450000,0.254548123
47.500000,0.250000000
47.550000,0.245479292
47.600000,0.240986495
47.650000,0.236522102
47.700000,0.232086603
47.750000,0.227680482
47.800000,0.223304225
47.850000,0.218958311
47.900000,0.214643216
47.950000,0.210359414
48.000000,0.206107374
48.050000,0.201887563
48.100000,0.197700443
48.150000,0.193546473
48.200000,0.189426110
48.250000,0.185339804
