time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
3.800000,0.0000383306,0.0000057207,0.0000026103,10,5,1,cstr
3.850000,0.0000404183,0.0000060451,0.0000027620,10,5,1,cstr
3.900000,0.0000426138,0.0000063872,0.0000029221,10,5,1,cstr
3.950000,0.0000449223,0.0000067476,0.0000030911,10,5,1,cstr
4.000000,0.0000473494,0.0000071275,0.0000032694,10,5,1,cstr
4.050000,0.0000499006,0.0000075277,0.0000034576,10,5,1,cstr
4.100000,0.0000525820,0.0000079493,0.0000036561,10,5,1,cstr
4.150000,0.0000553998,0.0000083934,0.0000038655,10,5,1,cstr
4.200000,0.0000583605,0.0000088611,0.0000040863,10,5,1,cstr
4.250000,0.0000614709,0.0000093536,0.0000043192,10,5,1,cstr
4.300000,0.0000647381,0.0000098722,0.0000045647,10,5,1,cstr
4.350000,0.0000681694,0.0000104181,0.0000048235,10,5,1,cstr
4.400000,0.0000717728,0.0000109928,0.0000050964,10,5,1,cstr
4.450000,0.0000755561,0.0000115976,0.0000053840,10,5,1,cstr
4.500000,0.0000795278,0.0000122340,0.0000056870,10,5,1,cstr
4.550000,0.0000836967,0.0000129035,0.0000060063,10,5,1,cstr
4.600000,0.0000880719,0.0000136079,0.0000063427,10,5,1,cstr
4.650000,0.0000926630,0.0000143489,0.0000066970,10,5,1,cstr
4.700000,0.0000974799,0.0000151281,0.0000070702,10,5,1,cstr
4.750000,0.0001025329,0.0000159475,0.0000074632,10,5,1,cstr
4.800000,0.0001078330,0.0000168091,0.0000078770,10,5,1,cstr
4.850000,0.0001133913,0.0000177148,0.0000083126,10,5,1,cstr
4.900000,0.0001192195,0.0000186668,0.0000087711,10,5,1,cstr
4.950000,0.0001253300,0.0000196673,0.0000092538,10,5,1,cstr
5.000000,0.0001317353,0.0000207186,0.0000097616,10,5,1,cstr
5.050000,0.0001384489,0.0000218233,0.0000102960,10,5,1,cstr
5.100000,0.0001454844,0.0000229837,0.0000108582,10,5,1,cstr
5.150000,0.0001528562,0.0000242026,0.0000114496,10,5,1,cstr
5.200000,0.0001605793,0.0000254827,0.0000120715,10,5,1,cstr
5.250000,0.0001686693,0.0000268270,0.0000127256,10,5,1,cstr
5.300000,0.0001771422,0.0000282383,0.0000134134,10,5,1,cstr
5.350000,0.0001860149,0.0000297199,0.0000141364,10,5,1,cstr
5.400000,0.0001953051,0.0000312751,0.0000148964,10,5,1,cstr
5.450000,0.0002050307,0.0000329072,0.0000156952,10,5,1,cstr
5.500000,0.0002152108,0.0000346199,0.0000165346,10,5,1,cstr
5.550000,0.0002258651,0.0000364168,0.0000174167,10,5,1,cstr
5.600000,0.0002370140,0.0000383018,0.0000183433,10,5,1,cstr
5.650000,0.0002486786,0.0000402791,0.0000193167,10,5,1,cstr
5.700000,0.0002608812,0.0000423527,0.0000203390,10,5,1,cstr
5.750000,0.0002736447,0.0000445271,0.0000214127,10,5,1,cstr
5.800000,0.0002869927,0.0000468068,0.0000225400,10,5,1,cstr
5.850000,0.0003009502,0.0000491967,0.0000237235,10,5,1,cstr
5.900000,0.0003155427,0.0000517017,0.0000249658,10,5,1,cstr
5.950000,0.0003307968,0.0000543270,0.0000262697,10,5,1,cstr
6.000000,0.0003467404,0.0000570779,0.0000276381,10,5,1,cstr
6.050000,0.0003634020,0.0000599601,0.0000290739,10,5,1,cstr
6.100000,0.0003808114,0.0000629794,0.0000305802,10,5,1,cstr
6.150000,0.0003989995,0.0000661419,0.0000321604,10,5,1,cstr
6.200000,0.0004179983,0.0000694538,0.0000338177,10,5,1,cstr
6.250000,0.0004378411,0.0000729219,0.0000355557,10,5,1,cstr
6.300000,0.0004585622,0.0000765529,0.0000373780,10,5,1,cstr
6.350000,0.0004801974,0.0000803540,0.0000392886,10,5,1,cstr
6.400000,0.0005027837,0.0000843325,0.0000412914,10,5,1,cstr
6.450000,0.0005263593,0.0000884962,0.0000433905,10,5,1,cstr
